Linea,Criadero,Status,Origen,A̱o,1AL/1RS,1BL/1RS,Glu-A1,Glu-B1,Glu-D1,Vrn-A1,Vrn-B1,Vrn-D1,Ppd-B1,Ppd-D1,Lr34
ACA 201,ACA,Variedad,CBS,2012,NO,NO,2*,17+18,5+10,s,s,s,s,s,-
ACA 303,ACA,Variedad,CBS,2012,NO,NO,2*,7+8,5+10,w,s,s,s,s,-
ACA 315,ACA,Variedad,CBS,2012,NO,NO,2*,7+8,5+10,w,w,s,s,s,-
ACA 365,ACA,Variedad,CBS,2012,NO,NO,2*,7+8,5+10,s,s,w,s,s,+
ACA 901,ACA,Variedad,CBS,2012,NO,NO,2*,7+9,5+10,w,s,s,s,i,-
ACA 907,ACA,Variedad,CBS,2012,NO,SI,1,7+9,5+10,s,w,s,,i,-
CIPRES,ACA,Variedad,CBS,2012,NO,NO,1,7+8,5+10,w,w,w,s,i,-
BAGUETTE 9,NIDERA,Variedad,CBS,2012,NO,NO,nulo,6+8/14+15,5+10,s*,w,w,s,i,-
BAGUETTE 10,NIDERA,Variedad,CBS,2012,NO,NO,nulo,6+8,5+10,s*,w,w,s,i,-
BAGUETTE 11,NIDERA,Variedad,CBS,2012,NO,NO,2*,7+8,5+10,s*,w,w,s,i,-
BAGUETTE 18,NIDERA,Variedad,CBS,2012,NO,NO,nulo,14+15?,5+10,s*,s,w,s,i,-
BAGUETTE 21,NIDERA,Variedad,CBS,2012,NO,NO,nulo,7+9,2+12,w,w,w,s,i,-
BAGUETTE 31,NIDERA,Variedad,CBS,2012,NO,NO,2*,7,5+10,w,w,w,s,s,-
BAGUETTE 601,NIDERA,Variedad,CBS,2012,NO,NO,1,7+8,5+10,w,s,w,s,i,-
BIOINTA 1005,INTA,Variedad,CBS,2012,NO,NO,2*,7+9,5+10,w,s,s,s,i,-
BIOINTA 1006,INTA,Variedad,CBS,2012,NO,NO,1,7+9,5+10,w,s,s,s,i,-
BIOINTA 1007,INTA,Variedad,CBS,2012,NO,NO,2*,7+9,5+10,w,s,s,s,i,+
BIOINTA 2004,INTA,Variedad,CBS,2012,SI,NO,2*,7+8,5+10,w,w,w,i,s,+
BIOINTA 2007,INTA,Variedad,CBS,2012,NO,SI,2*,7+9,5+10,w,s,w,s,i,-
BIOINTA 3004,INTA,Variedad,CBS,2012,NO,SI,1/2*,7+8/7+9,5+10,w,w,s,s,s,-
BIOINTA 3005,INTA,Variedad,CBS,2012,NO,NO,2*/nulo,7+8,2+12,w,w,w,i,s,-
BIOINTA 3006,INTA,Variedad,CBS,2012,NO,NO,1,7+8,5+10,s*,w,w,i,s,-
BIOINTA 3007 BB,INTA,Variedad,CBS,2012,SI,NO,1,7+8,2+12,s,w,w,,s,-
SY 100,SYNGENTA,Variedad,CBS,2012,NO,NO,2*,6+8,5+10,s*,w,w,i,s,+
SY 110,SYNGENTA,Variedad,CBS,2012,NO,NO,2*,6+8,5+10,s*,w,w,s,i,-
SY 200,SYNGENTA,Variedad,CBS,2012,NO,NO,2*,6+8,5+10,w,w,s,s,i,-
SY 300,SYNGENTA,Variedad,CBS,2012,NO,NO,2*,6+8,5+10,s*,w,w,s,i,-
METEORO,BUCK,Variedad,CBS,2012,NO,NO,1,7oe+8,5+10,s,H,w,s,s,-
AGP 127,BUCK,Variedad,CBS,2012,NO,NO,2*/nulo,7+9,2+12,w,w,w,i,s,-
LE 2330,RELMO,Variedad,CBS,2012,NO,NO,1,7+8,5+10,s,w,s,s,s,+
LE 2331,RELMO,Variedad,CBS,2012,NO,NO,2*,17+18,5+10,w,s,w,s,i,-
CRONOX,DON MARIO,Variedad,CBS,2012,NO,NO,2*,7+9,5+10,w,s,s,i,i,-
LENOX,DON MARIO,Variedad,CBS,2012,NO,NO,2*,7+8,5+10,w,w,w,s,i,+
LEON,KLEIN,Variedad,CBS,2012,NO,NO,2*/nulo,7+9,2+12/2+10,w,s,w,s,i,-
TAURO,KLEIN,Variedad,CBS,2012,NO,NO,1,7+8,5+10,w,s,s,s,i,-
RAYO,KLEIN,Variedad,CBS,2012,NO,SI,2*,7oe+8,5+10,w,s,w,s,i,-
ROBLE,KLEIN,Variedad,CBS,2012,NO,SI,1,7+8,5+10,w,s,s,s,i,-
NOGAL,SURSEM,Variedad,CBS,2012,NO,NO,2*,7+8,5+10,w,w,w,s,i,-
NOGAL 100,SURSEM,Variedad,CBS,2012,NO,NO,nulo,7+9,5+10,w,w,w,s,i,-
W09006,INTA Barrow,Linea,CBS,2012,NO,NO,2*,7oe+8,2+12,w,s,w,s,s,-
W08017,INTA Barrow,Linea,CBS,2012,NO,NO,1,7oe+8,5+10,w,s,w,i,s,-
W08033,INTA Barrow,Linea,CBS,2012,NO,NO,nulo,7oe+8,5+10,s,w,w,s,i,-
W10011,INTA Barrow,Linea,CBS,2012,NO,NO,1,7+8,5+10,w,s,w,s,s,-
W10020,INTA Barrow,Linea,CBS,2012,NO,NO,1,7+8,5+10,s*,s,s,i,s,-
W10024,INTA Barrow,Linea,CBS,2012,NO,NO,2*/nulo,7+9,2+12,s,s,s,s,s,-
W10032,INTA Barrow,Linea,CBS,2012,NO,NO,1,7oe+8,5+10,w,s,s,s,s,-
W10034,INTA Barrow,Linea,CBS,2012,NO,SI,2*,7oe+8,5+10,w,w,s,s,i,-
W10044,INTA Barrow,Linea,CBS,2012,NO,NO,1,17+18,5+10,s,w,w,i,s,-
W10048,INTA Barrow,Linea,CBS,2012,NO,NO,2*,7oe+8,5+10,w,w,w,i,s,+
GALERA,,Variedad,CBS,2012,NO,NO,2*,7oe+8,5+10,s,w,s,,i,-
OSADO,,Variedad,CBS,2012,NO,NO,1,7+9,5+10,w,s,s,,i,-
DUSTER,,Variedad,CBS,2012,NO,NO,2*,7+8,5+10,w,w,w,s,i,+
T00203,INTA Parana,Linea,CBS,2012,NO,NO,1,7+8,5+10,s*,w,w,i,s,-
B22207,INTA Balcarce,Linea,CBS,2012,NO,NO,2*,13+16,5+10,w,s,s,s,s,-
B15308,INTA Balcarce,Linea,CBS,2012,NO,SI,2*,7oe+8,5+10,w,s,s,s,s,-
B18407,INTA Balcarce,Linea,CBS,2012,NO,NO,1/2*,7oe+8,5+10,s/s*,w,s,s,H,-
B18708,INTA Balcarce,Linea,CBS,2012,NO,NO,1,7oe+8,5+10,s*,w,s,s,s,-
B16208,INTA Balcarce,Linea,CBS,2012,NO,NO,2*/nulo, 6+8, 2+12,w,s,s,s,s,-
B14207,INTA Balcarce,Linea,CBS,2012,NO,NO,2*, 6+8, 5+10,w,s,s,s,i,-
B17108,INTA Balcarce,Linea,CBS,2012,NO,NO,1,7+9,5+10,w,s,s,s,i,-
B16908,INTA Balcarce,Linea,CBS,2012,NO,NO,2*, 7oe+8, 5+10,w,s,w,s,s,-
B16008,INTA Balcarce,Linea,CBS,2012,NO,NO,2*/nulo, 6+8, 2+12,w,s,w,s,i,-
B23708,INTA Balcarce,Linea,CBS,2012,NO,SI,2*/nulo,7oe+8,2+12,s*,s,w,s,i,-
B2058,INTA Balcarce,Linea,CBS,2012,NO,NO,1,7+9,5+10,w,s,s,i,i,-
B2053,INTA Balcarce,Linea,CBS,2012,NO,NO,2*,7+9,5+10,w,s,s,i,i,-
B28109,INTA Balcarce,Linea,CBS,2012,NO,NO,2*,7+9,5+10,w,s,s,s,s,-
B15908,INTA Balcarce,Linea,CBS,2012,NO,NO,2*/nulo,6+8,2+12,w,s,w,s,i,-
B2057,INTA Balcarce,Linea,CBS,2012,NO,NO,1,7+9,5+10,w,s,s,i,i,-
V00931,INTA Bordenave,Linea,CBS,2012,NO,NO,2*/nulo?,7+8,2+12,s,s,s,s,s,+
V00933,INTA Bordenave,Linea,CBS,2012,NO,NO,2*/nulo,7+9,2+12,s,s,w,s,s,+
V00935,INTA Bordenave,Linea,CBS,2012,NO,NO,2*/nulo,7+8,5+10,s,w,w,s,s,+
V00937,INTA Bordenave,Linea,CBS,2012,NO,NO,1,7+8,2+12,w,s,s,s,s,+
V00938,INTA Bordenave,Linea,CBS,2012,NO,NO,1,7+9,5+10/2+12,s,s,w,i,s,+
V00939,INTA Bordenave,Linea,CBS,2012,NO,NO,1,7+9,5+10,w,s,s,s,s,+
V00940,INTA Bordenave,Linea,CBS,2012,NO,NO,1,7+8,5+10,s*,s,w,s,i,-
V00941,INTA Bordenave,Linea,CBS,2012,NO,NO,1,7+8,5+10,s*,w,w,s,i,-
V00942,INTA Bordenave,Linea,CBS,2012,NO,NO,2*/nulo,17+18,5+10,w,s,w,s,s,-
V00943,INTA Bordenave,Linea,CBS,2012,NO,NO,1,7+8,5+10,s,w,s,s,s,-
V00944,INTA Bordenave,Linea,CBS,2012,NO,NO,2*/nulo?,7+8,5+10,s,s,w,s,s,-
ALLIANCE,,Variedad,CBS,2012,NO,NO,1,7oe+8,5+10,w,s,s,,,-
W09043,INTA Barrow,Linea,CBS,2012,NO,NO,1,13+16?,2+12,w,s,s,s,i,-
39R,,Linea,CBS,2012,NO,NO,2*/nulo,7+8,5+10,w,s,w,s,i,-
