Nombre;Criadero;Origen;Año;CNN/CS;1AL/1RS;1BL/1RS;Glu-A1;Glu-B1;Glu-D1
ACA 223;ACA;CBS;2005;CS;NO;SI;1;7+9;5+10
ACA 302;ACA;CBS;2005;CNN;NO;NO;2';7+8;5+10
ACA 303;ACA;CBS;2005;CNN;NO;NO;2*;7+8;5+10
ACA 304;ACA;CBS;2005;CNN;NO;NO;2';7+8;5+10
ACA 601;ACA;CBS;2005;CNN;NO;NO;2*;7+8;5+10?
ACA 801;ACA;CBS;2005;CS;NO;NO;2*;7+9;5+10
ACIENDA;NIDERA;CBS;2005;CS;NO;NO;2*/nulo;7+9;2+12
BAGUETTE 10;NIDERA;CBS;2005;CS;NO;NO;nulo;6+8;5+10
BAGUETTE 19;NIDERA;CBS;2005;CS;NO;NO;nulo;14+15;5+10
BAGUETTE 20;NIDERA;CBS;2005;CS;NO;NO;2*;7+8;5+10
BAGUETTE PREMIUM 11;NIDERA;CBS;2005;CS;NO;NO;2*;7+8;5+10
BAGUETTE PREMIUM 13;NIDERA;CBS;2005;CS;NO;NO;2*;14+15;5+10
BAGUETTE SUR 5;NIDERA;CBS;2005;CS;NO;NO;2*/nulo;6+8;2+12
BONAERENSE PASUCO;INTA;CBS;2005;CNN;NO;NO;2*/nulo;7+8;2+12
BIOINTA 1000;INTA;CBS;2005;CNN;NO;NO;1;7+8;5+10
BIOINTA 1001;INTA;CBS;2005;CS;NO;SI;1;7+9;5+10
BIOINTA 1002;INTA;CBS;2005;CS;NO;NO;1;7+9;5+10
BIOINTA 1003;INTA;CBS;2005;CS;NO;NO;2*;7+9;5+10
BIOINTA BON. 2001;INTA;CBS;2005;CNN;NO;NO;2*;7+8;5+10
BIOINTA 3000;INTA;CBS;2005;CS;NO;NO;1;7+8;5+10
BIOINTA 3003;INTA;CBS;2005;CS;NO;NO;2*;7+9;5+10
BUCK 240846#1;BUCK;CBS;2005;CS;NO;NO;1;7+8;5+10
BUCK AGUARA;BUCK;CBS;2005;CNN;NO;NO;2*;17+18;5+10
BUCK ARRIERO;BUCK;CBS;2005;CS;NO;NO;1;7+8;5+10
BUCK BIGUA ;BUCK;CBS;2005;CS;NO;NO;1;7+8;5+10
BUCK BRASIL;BUCK;CBS;2005;CS;NO;NO;1;7+8;5+10
BUCK CHACARERO;BUCK;CBS;2005;CNN;NO;NO;2*;17+18;5+10
BUCK GUAPO;BUCK;CBS;2005;CS;NO;SI;1/2*;7+8;5+10
BUCK GUATIMOZIN;BUCK;CBS;2005;CNN;NO;NO;2*;7+8;5+10
BUCK MATACO;BUCK;CBS;2005;CS;NO;NO;1;17+18;5+10
BUCK MEJORPAN;BUCK;CBS;2005;CNN;NO;NO;2*;7+8;5+10
BUCK PANADERO;BUCK;CBS;2005;CS;NO;NO;2*;7+8;5+10
BUCK PINGO;BUCK;CBS;2005;CNN;NO;NO;1;17+18;5+10
BUCK PONCHO;BUCK;CBS;2005;CNN;NO;NO;2*;7+8;5+10
BUCK PRONTO;BUCK;CBS;2005;CS;NO;NO;2*;7+8;5+10
BUCK SUREÑO;BUCK;CBS;2005;CS;NO;SI;2*;7+8;5+10
CAUDILLO;BUCK;CBS;2005;CS;NO;NO;2*;7+8;5+10
CRONOX;DON MARIO;CBS;2005;CS;NO;NO;2*;7+9;5+10
GREINA;;CBS;2005;CS;NO;NO;2*;7+9;5+10
INIA CONDOR;INIA;CBS;2005;CS;NO;NO;2*;7+8/9;5+10
INIA CHURRINCHE;INIA;CBS;2005;CS;NO;NO;2*;7+8;5+10
INIA TORCAZA;INIA;CBS;2005;CS;NO;NO;2*;17+18;5+10
KLEIN CAPRICORNIO;KLEIN;CBS;2005;CS;NO;NO;2*;7+8;5+10
KLEIN CASTOR;KLEIN;CBS;2005;CS;NO;NO;1;7+8;5+10
KLEIN CHAJA;KLEIN;CBS;2005;CS;NO;SI;2*;17+18;5+10
KLEIN DON ENRIQUE;KLEIN;CBS;2005;CS;NO;SI;2*;17+18;5+10
KLEIN ESCORPION;KLEIN;CBS;2005;CS;NO;SI;1;7+9;5+10
KLEIN ESCUDO ;KLEIN;CBS;2005;CS;NO;SI;2*;7+9;5+10
KLEIN FLECHA;KLEIN;CBS;2005;CS;NO;SI;2*;7+8;5+10
KLEIN GAVILAN;KLEIN;CBS;2005;CS;NO;SI;2*;7+9;5+10
KLEIN JABALI;KLEIN;CBS;2005;CS;NO;NO;2*;7+8;5+10
KLEIN MARTILLO;KLEIN;CBS;2005;CNN;NO;SI;2*;7+9;5+10
KLEIN PROTEO;KLEIN;CBS;2005;CS;NO;NO;1;7+9;5+10
KLEIN SAGITARIO;KLEIN;CBS;2005;CS;NO;SI;1;7+8;5+10
KLEIN TAURO;KLEIN;CBS;2005;CS;NO;SI;1;7+8;5+10
ONIX;DON MARIO;CBS;2005;CS;NO;NO;2*;7+9;5+10
PROINTA DON UMBERTO;INTA;CBS;2005;CS;NO;SI;2*;7+9;5+10
PROINTA GAUCHO;INTA;CBS;2005;CS;NO;SI;1;7+9;5+10
PROINTA GRANAR;INTA;CBS;2005;CS;NO;SI;2*;13+16;5+10
PROINTA MOLINERO;INTA;CBS;2005;CS;NO;NO;1;7+8;5+10
PROINTA PUNTAL;INTA;CBS;2005;CS;SI;NO;2*;7+8;5+10
ZORZAL ;;CBS;2005;CS;NO;NO;2*;7+9;5+10
W 99020;INTA Barrow;CBS;2005;CS;NO;NO;2*;7+8;5+10
W 01006;INTA Barrow;CBS;2005;CS;NO;NO;2*;7+8;5+10
W 01041;INTA Barrow;CBS;2005;CNN;NO;NO;2*;7+8;5+10
W 03003;INTA Barrow;CBS;2005;CS;NO;NO;1;7+8;5+10
W 03004;INTA Barrow;CBS;2005;CS;NO;NO;1;7+8;5+10
W 03010;INTA Barrow;CBS;2005;CNN;NO;NO;2*;17+18;5+10
W 03011;INTA Barrow;CBS;2005;CS;NO;NO;2*;17+18;5+10
W 03013;INTA Barrow;CBS;2005;CS;NO;NO;2*;17+18;5+10
W 03014;INTA Barrow;CBS;2005;CNN;NO;NO;2*;7+8;5+10
W 03015;INTA Barrow;CBS;2005;CNN;NO;NO;2*;7+8;5+10
W 03018;INTA Barrow;CBS;2005;CNN;NO;NO;1;7+8;5+10
W 03019;INTA Barrow;CBS;2005;CNN;NO;NO;2*;7+9;5+10
W 03020;INTA Barrow;CBS;2005;CS;NO;NO;2*;7+9;5+10
W 03021;INTA Barrow;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00723;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;5+10
B 15100;INTA Balcarce;CBS;2005;CNN;NO;NO;2*;7+9;5+10
B 16401;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+9;5+10
INIA GORRION;INIA;CBS;2005;CS;NO;NO;2*;7+9;5+10
INIA TIJERETA;INIA;CBS;2005;CS;NO;NO;2*;17+18;5+10
INIA TORCAZA;INIA;CBS;2005;CS;NO;NO;2*;17+18;5+10
KINACI;;CBS;2005;CS;NO;NO;2*;7+9;5+10
B 16099;INTA Balcarce;CBS;2005;CS;NO;SI;2*;7+9;5+10
B 20499;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+8;5+10
B 22499;INTA Balcarce;CBS;2005;CS;NO;NO;1;7+8;5+10
B 23199;INTA Balcarce;CBS;2005;CS;NO;NO;1;7+8;5+10
B 23299;INTA Balcarce;CBS;2005;CS;NO;NO;1;7+8;5+10
B 11000;INTA Balcarce;CBS;2005;CNN;NO;SI;2*;7+9;5+10
B 12800;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+9;5+10
B 10901;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+8;5+10
B 11001;INTA Balcarce;CBS;2005;CS;NO;SI;2*;7+9;5+10
B 11301;INTA Balcarce;CBS;2005;CS;NO;SI;1/2*;7+8/17+18;5+10
B 07302;INTA Balcarce;CBS;2005;CNN;NO;NO;2*;7+8;5+10
B 08302;INTA Balcarce;CBS;2005;CNN;NO;SI;2*;7+9;5+10
B 08802;INTA Balcarce;CBS;2005;CS;NO;SI;1;7+9;5+10
B 12702;INTA Balcarce;CBS;2005;CS;NO;SI;2*;17+18;5+10
B 13002;INTA Balcarce;CBS;2005;CS;NO;SI;2*;7+9;5+10
B 13202;INTA Balcarce;CBS;2005;CS;NO;NO;2*;7+8;5+10
DRONG HORN;;CBS;2005;CS;NO;NO;1/2*;7+9;5+10
GOOD STREAK;;CBS;2005;CS;NO;NO;2*;7+9;5+10
MILLENIUM;;CBS;2005;CNN;NO;NO;2*/nulo;7+9;2+12
PINCEN PELON;;CBS;2005;CS;NO;NO;2*;7+8/17+18;5+10
PROINTA COLIBRI;INTA;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00328;INTA Bordenave;CBS;2005;CS;NO;NO;2*;17+18;5+10
V 00703;INTA Bordenave;CBS;2005;CS;NO;SI;2*/nulo;7+8;2+12
V 00713;INTA Bordenave;CBS;2005;CS;NO;SI;2*;7+8;5+10
V 00770;INTA Bordenave;CBS;2005;CS;NO;SI;2*;7+8;5+10
V 00817;INTA Bordenave;CBS;2005;CS;NO;NO;2*;17+18;5+10
V 00830;INTA Bordenave;CBS;2005;CS;NO;SI;1;7+9;5+10
V 00832;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00833;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00836;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;2+12
V 00845;INTA Bordenave;CBS;2005;CS;NO;NO;1;13+16;2+12
V 00846;INTA Bordenave;CBS;2005;CS;NO;SI;1;7+9;2+12
V 00847;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+9;2+12
V 00858;INTA Bordenave;CBS;2005;CS;NO;NO;1;7+8;5+10
V 00860;INTA Bordenave;CBS;2005;CS;NO;SI;nulo;7+9;5+10
V 00867;INTA Bordenave;CBS;2005;CS;NO;NO;nulo;7+8;5+10
V 00870;INTA Bordenave;CBS;2005;CS;NO;SI;1;7+9;2+12
V 00871;INTA Bordenave;CBS;2005;CNN;NO;NO;2*;7+8;5+10
V 00876;INTA Bordenave;CBS;2005;CS;NO;NO;1;14+15;5+10
